Month,NDVI,EVI,LST,LST_Night,Rainfall,Soil_Moisture,SPI,PET,SPEI,NDVI_min,NDVI_max,VCI,LST_min,LST_max,TCI,SM_min,SM_max,SMCI,VHI,SIWSI
01-11-2006,5674.497739,3102.802565,31.40442573,18.67526236,0.545035486,0.273696278,0.679273737,158.1933275,0.336903857,1899.864131,6867.582424,75.98324593,28.93215136,49.10846569,87.7466502,0.203027177,0.451964417,28.38832006,81.86494807,0.570856837
01-12-2006,4938.794744,2633.325701,30.19764251,15.89936348,0.047202755,0.215091417,-1.320264926,159.8668358,0.308935315,1899.864131,6867.582424,61.17356971,28.93215136,49.10846569,93.72783784,0.203027177,0.451964417,4.846297577,77.45070377,0.493108012
01-01-2007,4314.692588,2334.762388,30.88421544,14.94871652,0.21475561,0.204577104,-0.805695534,168.2260542,0.197182903,1899.864131,6867.582424,48.61041456,28.93215136,49.10846569,90.32497189,0.203027177,0.451964417,0.622617521,69.46769322,0.427578668
01-02-2007,3547.561192,1942.936592,35.61451602,18.03756317,0.229109616,0.207303135,-0.623104953,193.6424149,-0.227237496,1899.864131,6867.582424,33.1680857,28.93215136,49.10846569,66.88015191,0.203027177,0.451964417,1.717685157,50.02411881,0.350969041
01-03-2007,2893.361717,1589.614255,42.47576126,22.47198261,0.317189784,0.205095685,-0.856044994,232.7006959,-1.27078571,1899.864131,6867.582424,19.99907255,28.93215136,49.10846569,32.87371679,0.203027177,0.451964417,0.830935528,26.43639467,0.290463147
01-04-2007,2707.820129,1481.332668,45.8905653,24.80347077,0.182355142,0.212490054,-0.875638325,245.9995144,-1.885604827,1899.864131,6867.582424,16.26412671,28.93215136,49.10846569,15.94890097,0.203027177,0.451964417,3.80131033,16.10651384,0.27336995
01-05-2007,2651.592112,1415.394308,47.31615858,27.19676273,0.225944916,0.20425792,-0.747595405,254.8376764,-2.545418551,1899.864131,6867.582424,15.13225864,28.93215136,49.10846569,8.88322358,0.203027177,0.451964417,0.494398656,12.00774111,0.269244859
01-06-2007,2783.44441,1710.027049,43.59247396,26.82447765,7.269539522,0.331416516,0.5759288,224.660257,-0.786939753,1899.864131,6867.582424,17.7864409,28.93215136,49.10846569,27.33894627,0.203027177,0.451964417,51.57498271,22.56269359,0.261677496
01-07-2007,5388.254996,3674.72393,34.13011977,22.58407709,11.3602817,0.443184684,-0.036953603,162.3287442,0.418994319,1899.864131,6867.582424,70.22118926,28.93215136,49.10846569,74.23727484,0.203027177,0.451964417,96.47311397,72.22923205,0.523584955
01-08-2007,6324.254576,4515.324568,27.33068144,21.90533196,9.946429751,0.444565404,0.166732078,102.2596886,0.95470586,1899.864131,6867.582424,89.06282893,27.33068144,49.10846569,100,0.203027177,0.451964417,97.02775961,94.53141447,0.606043512
